Epoch,Open,High,Low,Close,Volume,Number
2023-09-10 16:35:00+00:00,1615.29,1615.68,1614.55,1614.9,726079.069363,377
2023-09-10 16:40:00+00:00,1614.9,1615.45,1614.69,1615.3,789013.112739,597
2023-09-10 16:45:00+00:00,1615.3,1615.3,1600.0,1607.1,21728786.435549002,6999
2023-09-10 16:50:00+00:00,1607.1,1611.47,1603.9,1608.41,17025375.631006,4874
2023-09-10 16:55:00+00:00,1608.41,1613.48,1607.71,1613.48,3065796.7190199997,1411
2023-09-10 17:00:00+00:00,1613.48,1613.96,1610.97,1610.97,3110955.385543,1287
2023-09-10 17:05:00+00:00,1610.97,1611.59,1602.3,1605.15,7200097.451304,2709
2023-09-10 17:10:00+00:00,1605.15,1607.34,1603.2,1605.85,5041282.544845,2014
2023-09-10 17:15:00+00:00,1605.85,1608.99,1604.03,1605.4,3037755.922548,1696
2023-09-10 17:20:00+00:00,1605.4,1607.64,1605.11,1607.44,1395170.226273,1014
2023-09-10 17:25:00+00:00,1607.44,1608.6,1606.56,1608.24,1537436.507115,904
2023-09-10 17:30:00+00:00,1608.24,1609.95,1608.1,1608.61,879349.364232,876
2023-09-10 17:35:00+00:00,1608.61,1608.61,1606.85,1607.57,528063.283714,747
2023-09-10 17:40:00+00:00,1607.57,1608.35,1606.17,1607.14,1698192.306599,792
2023-09-10 17:45:00+00:00,1607.14,1609.9,1607.14,1608.9,1000731.2834690001,795
2023-09-10 17:50:00+00:00,1608.9,1609.58,1606.5,1607.27,1503169.45162,777
2023-09-10 17:55:00+00:00,1607.27,1608.55,1606.55,1608.49,1226949.798155,612
2023-09-10 18:00:00+00:00,1608.49,1609.42,1607.85,1609.42,1427168.330301,763
2023-09-10 18:05:00+00:00,1609.42,1611.67,1609.41,1611.54,1428545.091422,1099
2023-09-10 18:10:00+00:00,1611.54,1612.54,1610.78,1612.54,796316.8840940001,723
2023-09-10 18:15:00+00:00,1612.54,1613.38,1612.31,1612.41,1022415.7842999999,637
2023-09-10 18:20:00+00:00,1612.41,1614.28,1612.18,1613.33,795660.59933,654
2023-09-10 18:25:00+00:00,1613.33,1613.7,1613.01,1613.52,366823.075285,414
2023-09-10 18:30:00+00:00,1613.52,1614.04,1613.03,1613.73,1489758.7746859998,559
2023-09-10 18:35:00+00:00,1613.73,1613.74,1612.36,1612.79,534220.760606,441
2023-09-10 18:40:00+00:00,1612.79,1613.54,1612.53,1612.54,292954.24487099994,407
2023-09-10 18:45:00+00:00,1612.54,1612.8,1612.0,1612.05,340200.579474,430
2023-09-10 18:50:00+00:00,1612.05,1612.69,1611.71,1612.68,280146.01716,426
2023-09-10 18:55:00+00:00,1612.68,1612.75,1612.01,1612.25,485348.85702399997,402
2023-09-10 19:00:00+00:00,1612.25,1613.21,1612.04,1612.13,327439.826456,498
2023-09-10 19:05:00+00:00,1612.13,1612.51,1611.7,1611.96,450971.612205,400
2023-09-10 19:10:00+00:00,1611.96,1612.2,1611.94,1611.95,155042.905328,427
2023-09-10 19:15:00+00:00,1611.95,1612.25,1611.02,1612.25,216014.66676899997,470
2023-09-10 19:20:00+00:00,1612.25,1612.25,1611.32,1611.53,285990.561389,396
2023-09-10 19:25:00+00:00,1611.53,1611.88,1610.75,1610.91,293663.571998,411
2023-09-10 19:30:00+00:00,1610.91,1611.26,1610.07,1611.02,545590.676965,501
2023-09-10 19:35:00+00:00,1611.02,1611.02,1608.2,1608.21,721151.061081,579
2023-09-10 19:40:00+00:00,1608.21,1611.73,1602.85,1611.42,11600196.848713,3096
2023-09-10 19:45:00+00:00,1611.42,1613.93,1611.42,1612.85,2125161.220393,1053
2023-09-10 19:50:00+00:00,1612.85,1613.31,1609.75,1609.99,988356.4454879999,753
2023-09-10 19:55:00+00:00,1609.99,1619.76,1609.35,1616.84,9962070.502171999,2707
2023-09-10 20:00:00+00:00,1616.84,1616.98,1614.52,1614.84,1523052.91307,761
2023-09-10 20:05:00+00:00,1614.84,1622.88,1614.84,1618.81,4694498.340943,1962
2023-09-10 20:10:00+00:00,1618.81,1620.62,1618.3,1620.07,1932320.032899,702
2023-09-10 20:15:00+00:00,1620.07,1626.0,1619.4,1623.39,7827490.816767,2339
2023-09-10 20:20:00+00:00,1623.39,1626.15,1622.88,1623.27,5186300.269087,1611
2023-09-10 20:25:00+00:00,1623.27,1624.27,1620.0,1621.81,3926430.042077,1217
2023-09-10 20:30:00+00:00,1621.81,1621.84,1619.93,1620.62,1593576.703598,748
2023-09-10 20:35:00+00:00,1620.62,1620.63,1618.07,1619.04,2722416.522038,955
2023-09-10 20:40:00+00:00,1619.04,1619.16,1618.17,1618.99,799857.847587,456
2023-09-10 20:45:00+00:00,1618.99,1619.3,1618.05,1618.16,734035.426989,504
2023-09-10 20:50:00+00:00,1618.16,1619.66,1617.58,1619.33,938592.1571460001,561
2023-09-10 20:55:00+00:00,1619.33,1619.68,1618.35,1619.24,1078252.367451,587
2023-09-10 21:00:00+00:00,1619.24,1620.0,1619.07,1619.21,737537.493109,558
2023-09-10 21:05:00+00:00,1619.21,1619.67,1618.88,1619.42,513670.61749,462
2023-09-10 21:10:00+00:00,1619.42,1623.5,1619.41,1623.0,3007577.750124,1175
2023-09-10 21:15:00+00:00,1623.0,1625.35,1622.99,1625.34,1433199.582946,988
2023-09-10 21:20:00+00:00,1625.34,1628.23,1623.7,1623.71,4976828.401292,1999
2023-09-10 21:25:00+00:00,1623.71,1625.15,1623.7,1624.84,1637812.939,507
2023-09-10 21:30:00+00:00,1624.84,1625.0,1624.2,1624.21,333711.60972,387
2023-09-10 21:35:00+00:00,1624.21,1624.4,1622.79,1623.15,819450.987458,478
2023-09-10 21:40:00+00:00,1623.15,1623.38,1622.78,1623.12,620247.706235,511
2023-09-10 21:45:00+00:00,1623.12,1623.87,1621.63,1621.64,655186.650138,585
2023-09-10 21:50:00+00:00,1621.64,1622.65,1621.26,1622.64,744291.1225780001,613
2023-09-10 21:55:00+00:00,1622.64,1623.87,1622.64,1623.72,1207143.434337,535
2023-09-10 22:00:00+00:00,1623.72,1624.91,1621.26,1622.09,1997132.672413,851
2023-09-10 22:05:00+00:00,1622.09,1622.35,1622.01,1622.08,308491.978894,349
2023-09-10 22:10:00+00:00,1622.08,1622.78,1622.07,1622.61,287766.148206,453
2023-09-10 22:15:00+00:00,1622.61,1624.33,1622.6,1623.02,1387949.762181,775
2023-09-10 22:20:00+00:00,1623.02,1624.24,1623.01,1623.51,799905.707686,592
2023-09-10 22:25:00+00:00,1623.51,1624.34,1623.39,1623.39,618373.969418,539
2023-09-10 22:30:00+00:00,1623.39,1627.45,1623.39,1625.39,4114419.221382,1274
2023-09-10 22:35:00+00:00,1625.39,1625.96,1621.4,1621.74,1926904.457933,1012
2023-09-10 22:40:00+00:00,1621.74,1622.76,1621.4,1621.41,834211.189868,563
2023-09-10 22:45:00+00:00,1621.41,1621.45,1620.45,1620.45,381757.47829999996,491
2023-09-10 22:50:00+00:00,1620.45,1620.65,1620.13,1620.29,449144.841876,429
2023-09-10 22:55:00+00:00,1620.29,1620.37,1619.46,1619.46,240253.737094,384
2023-09-10 23:00:00+00:00,1619.46,1619.99,1619.12,1619.13,325994.400095,516
2023-09-10 23:05:00+00:00,1619.13,1620.0,1619.0,1619.25,425127.758911,419
2023-09-10 23:10:00+00:00,1619.25,1619.3,1618.7,1618.7,392481.518761,452
2023-09-10 23:15:00+00:00,1618.7,1618.71,1617.74,1617.94,446668.789711,452
2023-09-10 23:20:00+00:00,1617.94,1618.44,1617.91,1618.03,278873.345336,330
2023-09-10 23:25:00+00:00,1618.03,1618.03,1616.91,1616.98,554560.557352,506
2023-09-10 23:30:00+00:00,1616.98,1617.99,1616.53,1617.98,643403.616289,554
2023-09-10 23:35:00+00:00,1617.98,1618.49,1617.66,1618.48,224877.26514600002,397
2023-09-10 23:40:00+00:00,1618.48,1618.49,1618.11,1618.18,261909.043815,386
2023-09-10 23:45:00+00:00,1618.18,1618.75,1618.17,1618.33,212971.574556,420
2023-09-10 23:50:00+00:00,1618.33,1618.34,1617.63,1617.97,264959.659016,359
2023-09-10 23:55:00+00:00,1617.97,1618.11,1617.31,1617.42,217912.665298,353
2023-09-11 00:00:00+00:00,1617.42,1617.91,1616.88,1617.51,1003514.8968260001,650
2023-09-11 00:05:00+00:00,1617.51,1618.52,1617.41,1618.51,263627.861576,516
2023-09-11 00:10:00+00:00,1618.51,1618.92,1618.51,1618.79,193122.930285,480
